"normal_MS","progressive_MS","lesion1","lesion2","normal1","lesion3","normal2","..lesion4","normal3","normal4"
120,64,88,16,49,32,176,144,189,41
45,149,166,44,15,7,112,110,191,23
2,14,3,1,4,7,10,3,5,11
39,60,39,22,34,17,41,31,64,30
29,10,18,5,10,3,109,83,87,5
102,82,68,46,26,28,109,75,105,56
378,297,129,108,112,130,466,313,375,251
283,359,270,111,197,167,334,306,375,230
203,227,213,57,98,39,302,248,309,168
1,5,10,0,3,5,11,13,15,2
42,48,44,10,17,24,42,40,44,30
203,368,155,128,120,127,164,134,128,132
77,128,132,108,118,106,215,194,217,122
71,38,13,11,26,38,69,60,65,50
593,160,150,63,163,165,442,332,486,309
20,113,68,15,12,3,37,24,77,17
47,57,78,10,23,22,107,69,108,29
1207,1340,1278,622,810,812,1716,1338,1512,1160
27,65,30,16,13,42,57,40,56,17
426,134,167,140,245,218,561,437,450,401
207,260,246,137,154,190,475,402,410,280
261,110,115,47,57,48,267,358,293,219
11,26,3,4,7,2,18,18,11,4
12,50,112,63,13,2,61,43,160,41
10,5,20,1,9,0,29,12,9,5
14,44,20,20,7,4,40,32,43,24
93,104,128,44,73,52,200,193,164,104
410,377,327,70,42,52,605,410,565,126
74,17,36,24,7,6,87,58,56,32
5,13,8,17,27,15,12,15,10,9
34,51,15,5,20,19,45,39,21,16
15,40,40,20,23,12,70,51,87,31
3,18,22,11,6,10,24,12,39,30
411,352,324,179,388,244,470,453,407,460
125,245,131,48,88,56,192,131,190,86
125,265,261,182,76,332,135,79,201,87
135,135,89,49,55,39,156,149,165,46
308,259,272,125,75,64,352,304,455,230
10,8,17,4,20,12,12,32,19,1
262,588,336,346,80,105,157,168,284,391
166,112,75,53,97,69,243,164,165,101
3375,4412,3186,2748,4833,4321,3706,3130,4084,4179
245,176,143,60,141,136,481,388,326,297
121,183,103,91,120,58,147,94,163,111
277,398,213,148,180,128,443,397,329,263
96,112,85,37,18,22,110,81,104,66
78,346,154,72,76,37,342,226,364,56
2,39,18,48,9,16,23,10,22,40
885,808,821,359,289,311,1635,1207,1365,648
5,126,24,13,10,9,113,45,40,12
9,4,2,12,1,7,9,3,4,1
1693,1914,2191,569,700,479,2548,1980,2675,1006
81,120,80,17,38,32,149,95,101,35
10,19,32,0,0,0,11,13,29,11
14,14,20,5,4,10,14,17,14,7
59,130,135,70,69,43,81,85,149,109
51,51,42,15,15,12,49,24,57,26
3186,2100,1554,1031,2213,1919,3295,2599,3115,3175
155,163,150,68,52,50,207,223,258,142
10,3,9,19,30,20,14,4,24,26
24,23,21,13,8,6,44,37,25,21
47,28,17,15,14,11,59,60,46,24
23,51,21,41,34,28,35,29,47,26
32,58,24,12,24,23,31,35,32,32
127,138,94,57,22,28,95,74,140,225
145,28,43,4,30,43,202,153,128,66
1601,541,847,282,301,341,1928,1574,1759,984
24,41,19,10,18,8,55,53,48,12
18,26,23,5,15,6,46,41,18,18
174,368,157,153,203,106,243,228,213,163
10,54,66,25,12,8,48,45,56,14
69,71,67,40,73,69,131,99,102,80
119,144,176,48,50,33,253,224,230,154
11,106,20,0,14,7,85,51,43,1
14,10,24,8,11,7,20,13,41,13
239,383,228,132,180,82,231,173,275,153
570,601,684,130,176,136,1278,862,961,296
113,146,153,66,107,56,239,215,225,146
186,708,455,231,126,98,287,212,397,257
0,13,14,10,3,1,9,11,30,13
29,58,27,24,5,0,30,9,26,10
36,56,81,27,29,30,82,79,68,21
150,149,165,88,121,71,213,161,220,108
23,26,61,18,7,10,68,45,92,60
478,522,505,203,174,211,788,537,804,364
464,1259,554,249,274,159,818,612,807,371
330,263,239,187,313,226,341,299,270,309
150,228,197,29,32,34,344,225,312,61
5,28,30,28,3,0,34,24,54,19
57,66,64,44,37,28,102,57,92,46
7,86,44,23,35,8,90,76,68,2
483,223,266,69,183,146,652,491,597,207
119,71,75,8,63,70,244,143,159,82
1473,4404,2693,867,429,142,2001,2019,2446,639
1184,1455,1399,424,814,761,3077,1902,2412,711
32,74,42,20,12,3,30,30,41,14
162,132,111,55,72,45,263,214,191,89
33,57,100,26,11,7,58,48,95,17
223,174,188,32,102,53,287,248,307,102
723,688,623,216,297,178,814,697,833,476
27,4,31,9,24,12,32,33,40,11
172,80,106,21,58,68,167,124,153,55
170,163,137,69,103,129,268,203,225,199
16,40,38,33,4,26,94,64,39,39
65,45,49,24,43,13,82,56,73,44
3223,2550,1904,605,1242,887,3098,3021,2914,2087
409,1274,297,166,482,316,819,646,894,373
7,16,22,6,5,2,27,32,18,24
253,474,235,176,265,152,349,290,424,331
94,60,39,31,74,41,101,106,101,67
246,390,325,71,139,78,326,262,335,172
67,70,83,46,16,33,115,66,83,73
3,22,14,7,9,26,32,45,18,10
291,428,336,131,293,238,520,535,510,211
30,36,43,6,12,8,19,25,32,27
92,189,207,49,84,31,107,93,139,124
95,68,87,43,47,32,147,104,133,85
442,403,495,157,102,95,441,388,502,355
557,1229,849,479,627,267,632,578,884,638
52,118,42,30,18,6,70,77,57,33
41,63,40,17,11,2,34,18,55,15
35,93,69,38,24,4,70,45,48,21
11,16,29,5,15,4,39,15,58,7
7288,2819,4063,721,1272,1136,10272,8385,7760,2804
50,17,41,19,28,35,133,70,99,34
33,34,73,18,32,36,59,57,79,25
38,192,81,38,23,25,76,59,117,37
1420,2048,696,1094,1242,1090,1162,896,1043,1435
82,90,132,32,27,6,97,112,103,37
45,42,62,13,35,23,85,78,96,42
186,192,202,39,49,40,320,229,277,66
478,639,462,349,601,409,551,554,621,648
2,7,4,0,2,3,11,8,13,6
323,306,299,133,131,95,273,259,488,353
80,345,309,114,19,6,61,69,127,92
824,349,297,114,533,410,1044,731,844,720
157,244,383,44,88,39,405,278,511,99
67,76,71,42,5,1,53,42,84,35
19,27,25,15,1,0,15,23,38,12
38,65,74,24,19,5,87,47,73,57
24,21,40,6,5,4,55,33,52,19
209,71,42,15,71,65,136,113,162,58
39,60,40,26,26,16,69,79,86,36
161,102,109,52,58,99,223,221,203,194
204,394,268,176,205,141,386,269,266,175
10,88,73,36,1,24,32,43,84,20
90,54,54,21,39,37,90,53,81,14
14,15,13,9,3,9,13,13,28,1
674,911,504,183,317,204,535,578,624,300
48,34,27,11,19,19,110,49,59,48
238,258,203,121,110,177,244,216,255,224
415,633,271,179,288,187,519,417,507,415
38,108,162,24,10,13,85,99,177,15
2,57,41,9,1,12,20,13,72,24
98,31,18,8,16,16,105,75,52,66
112,274,218,151,64,65,168,141,222,100
93,96,85,26,47,55,127,125,112,50
97,150,104,11,32,26,177,133,148,41
137,114,162,39,18,78,201,150,227,77
0,31,5,0,1,1,20,11,7,0
3,7,0,3,13,5,18,16,6,13
151,117,99,42,104,107,116,78,136,105
0,15,17,5,0,12,5,0,9,2
9,20,11,1,1,7,0,9,6,4
2,21,16,8,4,8,25,18,18,1
44,130,176,44,28,16,180,134,172,48
310,280,158,117,230,190,225,251,232,274
600,662,402,185,268,203,702,493,702,393
315,828,473,185,170,100,311,265,382,201
1217,1495,1581,312,382,239,2359,1592,2061,409
21,49,67,54,20,16,45,38,102,64
20,30,26,30,6,30,55,26,38,12
297,273,250,93,134,97,383,283,358,181
282,245,159,73,102,76,316,257,301,140
775,1255,1039,408,457,223,1035,833,1170,595
281,585,330,198,134,170,441,292,418,204
124,51,36,17,58,50,306,254,134,75
197,477,377,230,103,93,245,236,312,231
13,178,68,23,30,21,114,76,104,1
80,163,112,46,76,66,190,133,170,134
56,95,67,26,19,15,134,71,98,28
456,1958,965,346,444,122,1621,1349,919,171
78,73,73,21,17,25,144,116,113,45
10,49,59,8,0,12,31,11,60,14
15,38,40,12,10,5,42,50,58,25
9,44,82,23,3,1,29,25,71,17
49,24,31,8,13,20,64,54,32,24
58,67,78,59,59,75,134,119,130,52
13,17,22,2,5,0,9,12,11,3
34,24,22,22,21,17,50,38,44,20
167,294,277,94,95,111,359,296,354,197
18,8,10,1,1,4,12,9,29,1
1438,2080,2359,706,291,334,2391,2079,2635,807
13,41,62,26,4,3,11,20,24,8
3,55,17,7,9,2,62,43,37,6
441,862,668,351,110,32,306,354,443,251
478,865,780,342,419,212,890,767,862,634
505,395,765,109,232,167,967,717,948,243
96,92,58,26,34,23,187,178,168,52
45,46,41,12,23,20,107,36,59,22
84,166,90,33,62,63,175,137,146,89
60,44,70,36,63,37,65,39,166,48
30,186,236,57,14,2,47,63,130,47
169,169,189,91,184,92,202,124,217,182
58,78,63,23,43,37,90,84,150,36
8,0,8,1,4,9,7,10,13,4
9,50,8,6,9,11,54,41,71,1
46,164,88,343,56,184,209,218,119,245
19,28,17,9,33,20,25,32,39,43
7,20,4,2,13,13,5,6,0,11
238,453,188,161,251,301,416,391,444,368
0,16,17,1,3,0,1,4,11,1
65,86,67,28,58,44,116,118,122,51
8,24,31,39,10,16,23,10,28,35
60,89,59,12,29,13,111,91,137,62
19,67,120,16,13,13,82,78,128,14
230,234,217,99,167,47,299,268,306,149
18,30,18,3,21,9,48,46,29,25
15,17,16,0,4,0,13,13,23,0
125,304,121,103,161,108,225,187,203,120
30,29,42,9,3,1,12,19,17,13
66,36,29,9,19,45,54,62,82,41
584,229,280,151,218,175,884,691,518,486
491,750,551,174,204,180,522,472,614,250
129,45,36,39,60,46,106,87,112,277
58,52,46,35,32,26,108,64,91,33
126,319,124,46,55,100,256,176,296,103
9,27,36,13,22,18,61,16,69,4
324,317,318,74,86,128,902,548,779,133
837,581,552,183,243,163,929,612,1047,355
6,47,27,8,10,1,7,5,9,3
106,186,71,43,144,109,275,187,187,164
1140,1238,1034,635,814,629,1052,1006,1220,1039
15,67,55,10,7,6,40,24,47,1
45,135,83,51,20,13,66,77,56,23
68,106,82,51,67,92,125,122,110,85
42,27,25,7,20,29,139,67,77,32
2201,3260,1794,1167,1040,1133,1731,1553,2157,1436
81,79,113,35,23,30,156,105,166,52
52,118,95,81,34,52,111,64,116,69
23,40,20,29,9,10,31,26,24,35
18,16,11,0,3,4,30,10,8,7
51,58,46,11,15,32,61,45,47,18
38,56,30,7,59,58,52,39,39,34
13,0,5,1,14,4,4,14,8,16
2,24,1,2,4,4,23,2,30,0
37,85,64,21,49,23,54,55,64,37
125,111,167,20,34,27,266,145,260,77
29,24,38,9,5,8,82,69,75,4
131,146,163,23,77,57,224,135,212,49
15,17,15,3,6,4,7,15,13,7
0,52,4,0,0,3,28,3,15,0
54,45,25,37,51,65,70,51,70,68
23,23,17,12,5,8,32,33,37,16
18,32,21,4,12,10,62,42,23,19
3,84,2,3,14,3,60,27,48,4
126,177,159,68,95,63,255,181,206,107
150,283,213,82,35,8,264,200,303,76
71,73,49,29,63,58,55,80,64,68
226,487,551,145,113,67,531,522,608,164
384,179,287,113,100,100,510,380,416,188
260,236,196,110,190,150,346,318,250,322
7,28,21,19,10,17,31,31,27,21
577,1293,1525,326,118,64,1323,936,1471,313
19,34,38,15,18,30,24,18,24,18
1,30,29,30,7,13,14,12,35,16
5,14,3,2,10,33,16,12,9,18
12,43,71,34,23,45,26,43,71,37
50,27,8,1,14,10,76,62,12,12
62,89,146,60,10,45,177,87,245,65
62,93,78,17,39,20,64,78,77,35
68,43,72,18,13,42,112,85,118,33
35,97,65,34,86,104,79,72,62,34
441,1436,1456,472,117,59,948,835,1255,333
22,53,41,2,16,2,36,21,51,3
6,8,9,0,2,0,10,10,16,5
145,271,138,76,119,44,197,206,254,133
38,34,21,3,2,7,30,10,62,9
188,209,192,53,114,53,136,134,186,133
0,5,5,22,9,8,4,5,3,16
108,152,135,41,31,51,196,125,200,60
6,38,8,2,3,3,17,11,24,0
280,443,308,165,164,147,375,316,469,260
313,188,231,75,113,119,429,299,331,191
57,142,138,22,25,10,85,51,101,23
97,105,90,48,96,77,181,139,149,117
503,456,358,118,347,186,450,393,499,322
15,36,14,10,11,12,35,41,27,26
262,241,224,99,170,107,272,226,267,209
94,190,137,32,76,65,172,96,160,72
226,250,344,91,55,71,433,355,392,90
1,15,15,3,0,0,31,20,14,2
251,342,238,143,148,102,452,390,327,212
160,173,150,51,99,33,177,157,216,76
68,57,76,13,11,8,134,88,112,31
56,42,55,20,20,9,123,71,109,31
64,153,84,20,7,2,100,69,98,15
76,96,54,20,39,28,152,145,80,44
160,222,165,105,90,65,419,372,387,149
382,863,432,208,261,175,540,427,508,328
7,11,17,4,4,3,19,14,28,4
310,513,253,119,116,121,710,553,614,215
132,250,108,128,106,68,294,115,113,186
89,152,217,42,55,48,236,153,324,65
6,22,40,5,9,25,26,33,29,7
22,62,65,37,46,16,56,36,44,16
155,304,136,88,130,128,209,149,203,78
58,29,51,12,15,14,128,63,79,12
588,1029,744,247,121,89,849,627,1058,246
43,45,21,55,20,30,57,48,69,28
97,171,123,61,59,41,190,170,208,89
230,198,242,84,138,72,331,244,329,173
23,113,108,70,34,9,117,81,148,31
46,132,107,18,56,12,102,78,169,51
78,60,71,25,13,37,125,76,115,40
7,23,21,13,5,5,20,10,12,4
305,386,279,84,69,79,817,517,510,151
100,370,540,252,48,14,199,164,294,139
62,151,135,36,51,37,107,88,130,41
398,352,243,87,209,139,404,375,479,264
16,71,42,40,15,13,16,29,27,6
11,12,32,4,4,0,6,5,31,10
57,68,35,2,23,18,112,74,69,30
41,3,12,14,7,22,18,19,29,15
64,141,128,127,73,63,104,67,134,67
344,404,389,118,168,109,543,455,487,208
27,139,88,27,8,4,20,15,31,11
32,74,49,35,55,25,43,39,31,33
46,74,155,18,19,9,159,112,182,45
68,81,82,13,64,62,86,66,97,45
8,17,23,3,3,2,15,21,25,10
60,67,66,38,48,8,62,63,92,24
46,111,21,76,58,60,80,59,54,101
206,260,178,116,152,166,273,235,268,153
25,37,33,11,21,5,50,58,34,13
60,34,38,7,30,27,55,55,41,36
185,514,355,279,129,71,251,170,337,228
43,81,41,9,38,19,62,47,64,20
6,53,34,31,7,4,36,23,57,14
1036,1330,939,465,545,337,1968,1296,1734,746
146,343,271,136,106,71,180,223,318,117
119,394,471,146,42,9,271,231,376,70
205,149,118,53,131,62,287,208,269,121
1250,672,392,220,628,650,1202,1142,956,841
33,231,69,42,37,32,92,67,60,28
963,777,592,381,395,371,944,936,774,694
18,46,41,12,6,2,20,25,38,2
8,7,8,4,16,9,20,9,16,9
27,74,27,23,22,21,52,66,30,32
15,45,29,21,21,30,68,40,55,53
3,23,2,1,12,9,21,33,10,1
5,14,13,7,10,11,16,14,13,17
140,157,114,44,69,67,181,138,170,113
106,203,196,81,99,37,188,182,240,121
67,114,90,64,89,93,84,88,94,78
316,433,449,178,167,155,486,411,608,261
167,320,302,238,82,60,261,251,467,250
66,100,99,17,12,19,184,145,113,15
77,106,93,26,34,48,77,85,70,49
107,169,107,66,103,46,198,133,172,145
235,499,171,106,168,145,298,200,249,202
15,24,56,47,3,3,25,57,28,32
108,110,76,28,71,41,201,198,164,84
284,470,287,131,243,211,366,338,383,230
14,40,37,5,12,0,39,32,54,8
564,618,438,178,659,546,525,474,561,487
40,27,43,9,8,17,85,62,52,13
140,65,72,60,84,43,166,136,114,99
3,44,8,3,4,0,7,15,18,5
69,554,160,29,55,40,331,215,267,14
773,685,449,243,599,307,742,736,697,734
43,84,42,7,6,15,30,40,42,7
7,15,25,3,5,1,2,3,34,3
22,127,24,26,27,32,47,34,26,21
0,17,5,7,4,4,16,20,15,4
7,16,1,2,15,14,23,18,15,3
36,66,45,27,20,14,39,52,66,39
119,112,151,52,66,88,149,133,139,69
24,133,126,32,15,50,51,78,85,29
67,139,110,82,92,65,136,124,209,137
27,22,19,8,7,9,60,9,22,14
53,77,39,23,24,8,72,52,76,34
82,59,60,22,38,5,95,88,67,35
114,135,89,8,18,27,276,159,191,96
15,80,36,17,16,13,35,51,36,8
188,503,374,137,68,61,279,238,362,92
14,40,19,36,21,23,29,34,38,47
37,84,61,13,18,11,66,45,70,50
73,106,92,26,53,26,117,109,93,70
2345,1881,2141,529,1355,1272,3258,2196,3315,1221
364,643,597,282,211,211,448,404,648,245
300,1127,1208,211,69,27,425,499,824,123
30,104,81,33,21,6,50,52,83,24
65,55,60,2,4,13,16,32,27,9
351,396,278,81,215,164,377,317,485,234
3,64,57,17,3,1,41,46,36,11
292,424,620,101,120,37,635,429,700,181
357,204,138,84,189,148,307,290,319,209
18,124,95,150,34,42,80,59,114,90
14,10,18,1,3,0,42,35,41,2
85,67,54,17,38,20,55,78,73,25
93,119,113,18,53,46,146,122,178,80
10,32,23,36,19,25,24,43,31,19
991,462,316,134,521,447,1060,896,990,750
12,41,17,20,30,4,5,16,11,25
118,145,136,24,46,27,150,89,129,59
11,46,37,19,6,7,23,10,26,15
181,510,393,160,85,115,261,249,334,131
55,98,146,31,45,17,105,93,150,71
148,171,129,68,96,111,177,162,176,129
53,51,35,9,46,14,67,69,72,21
269,251,190,32,60,55,377,362,347,164
22,66,80,19,8,4,17,27,55,22
8025,4492,4488,1639,3855,2613,8473,7108,6740,5305
0,26,32,12,3,0,3,3,14,5
1,88,30,68,46,21,75,41,65,69
118,45,55,37,75,126,136,156,110,156
3,30,12,15,6,13,11,14,35,5
80,151,68,35,47,29,146,106,101,48
12,8,8,0,4,8,11,12,10,1
147,163,157,18,62,58,156,165,189,59
51,46,24,26,37,31,65,68,98,50
9,0,9,4,17,2,18,8,11,36
9,8,6,0,11,1,7,3,15,4
128,119,99,34,73,65,201,130,160,94
18,33,26,4,21,20,30,27,18,34
9,43,35,6,9,8,36,26,20,9
10,68,37,8,3,12,10,19,41,7
31,82,44,48,25,15,93,95,87,46
73,74,49,13,32,39,48,63,50,43
106,218,255,76,13,4,191,137,298,38
217,125,167,45,66,66,355,248,275,172
86,69,49,53,37,24,102,85,90,63
307,314,373,82,76,84,805,612,658,137
572,474,405,104,167,94,896,579,670,216
19,35,28,2,16,10,40,20,31,5
368,548,422,230,458,271,601,491,578,387
16,54,71,95,19,23,151,109,83,105
699,880,852,412,666,565,823,650,834,705
26,37,57,36,13,6,79,36,34,32
46,64,57,28,24,26,64,41,45,50
79,307,347,85,38,37,105,122,285,94
42,140,102,92,22,34,70,35,139,42
6,19,3,7,8,10,23,7,3,10
84,141,64,51,43,49,142,111,122,85
53,105,54,7,16,7,63,58,69,25
45,65,109,45,16,33,155,93,138,20
3,21,15,2,1,4,9,27,22,4
1957,3008,2518,1057,1852,811,2245,1966,2575,1746
3,1,2,1,3,4,9,18,12,0
41,16,41,6,22,10,35,40,37,12
111,102,95,30,22,24,117,85,108,29
22,13,15,11,25,6,12,21,31,33
2010,539,830,352,1199,895,1571,1301,2113,1307
420,240,192,102,130,118,399,319,391,196
14,38,42,31,4,4,19,9,37,17
50,76,70,27,41,2,89,76,81,45
3,17,4,1,15,3,23,10,9,6
163,143,137,126,51,67,89,82,184,452
69,196,140,43,40,32,84,79,173,45
26,102,69,24,6,1,76,28,62,7
201,261,251,105,238,119,324,275,355,107
70,127,134,45,61,59,150,114,175,43
75,121,153,29,45,10,124,84,147,44
486,611,437,248,346,343,706,526,687,433
104,110,135,57,49,37,205,150,241,83
105,98,102,39,32,20,233,163,168,48
201,87,85,87,104,76,353,285,241,253
5,16,11,1,5,7,34,8,30,7
0,25,2,0,2,8,12,4,14,0
26,36,44,21,13,24,107,63,48,45
1,20,5,3,12,2,7,7,10,7
1835,4666,4129,2896,333,465,2340,2151,4101,1899
579,1599,1236,507,408,531,679,625,940,564
131,55,49,41,15,32,69,76,138,181
401,613,446,141,223,192,509,463,514,311
258,404,274,119,113,153,334,292,357,238
2,5,9,1,1,10,22,18,16,2
97,260,204,96,73,63,164,142,223,126
152,168,162,46,184,120,193,130,197,120
6,16,10,0,6,6,30,13,31,17
3,14,5,0,3,1,4,5,12,5
325,244,233,94,176,121,871,507,590,232
38,22,34,29,27,13,40,47,36,27
10,12,38,6,8,14,40,23,27,10
200,387,286,108,133,88,300,236,342,127
21,29,53,15,12,3,27,15,38,21
112,133,105,44,44,48,150,102,129,55
589,645,425,149,311,318,609,514,546,282
348,634,283,208,251,260,404,431,342,327
170,87,72,22,90,43,223,188,208,141
24,352,26,5,69,38,253,122,181,6
66,60,80,22,13,20,172,87,94,29
67,87,26,19,44,24,91,40,38,62
178,298,202,66,131,104,226,218,248,117
13,35,12,9,10,21,29,24,32,7
5,18,10,4,12,2,11,10,20,19
315,149,172,156,113,181,258,247,319,291
93,53,107,18,17,18,133,72,104,35
297,410,341,127,80,69,479,359,484,151
447,478,444,153,225,175,504,413,522,275
116,29,32,1,16,40,19,17,86,1
309,378,447,136,138,232,381,311,478,246
242,386,316,175,139,138,452,381,394,252
64,190,38,38,49,64,146,106,110,82
66,85,33,21,54,36,68,68,75,44
81,92,55,37,51,49,149,102,130,26
10,32,36,25,6,13,37,26,35,16
3,13,12,10,4,9,32,31,32,4
9,79,55,11,15,18,44,34,59,19
110,223,147,22,36,20,194,128,231,51
3,22,24,3,1,7,9,7,18,3
975,1420,1024,326,345,200,1717,1330,1749,581
43,41,50,7,48,37,74,67,75,70
269,345,265,92,71,78,415,328,465,152
1508,1886,1306,538,1161,580,1181,1134,1579,894
764,1000,616,221,285,385,785,761,941,464
62,35,96,17,5,19,234,158,158,20
127,94,117,31,65,30,203,174,152,94
1124,1358,1401,735,538,331,1097,1009,1282,688
353,288,199,38,104,127,375,306,312,147
30,28,21,5,18,24,50,46,57,9
46,22,58,12,13,38,54,63,35,35
99,52,86,26,37,28,145,99,156,49
56,80,50,22,12,23,78,64,86,28
286,505,303,134,234,133,357,287,319,219
132,356,369,254,50,25,204,256,290,169
129,157,173,111,74,67,251,203,228,79
564,780,612,293,595,632,857,786,929,620
540,1986,1786,623,111,73,627,616,1309,404
492,845,708,302,292,154,601,440,669,375
912,1186,788,402,405,474,1164,1064,939,772
60,90,88,43,65,48,77,77,129,60
195,409,290,153,112,92,319,274,394,145
57,132,131,126,49,87,136,128,122,128
370,237,333,113,47,36,567,361,535,142
33,10,30,9,6,3,56,35,27,22
2,3,13,1,0,0,13,10,10,10
602,570,466,326,451,267,912,605,649,566
11,98,11,44,30,66,57,40,40,32
30,168,116,58,23,40,111,107,93,30
38,91,45,61,36,43,64,73,51,40
0,11,0,0,2,0,27,9,5,0
23,32,62,11,7,4,36,49,32,15
9,160,85,21,44,17,76,33,77,26
163,147,211,65,189,144,229,196,247,122
355,499,528,188,85,71,583,488,660,204
41,77,59,27,19,19,49,43,73,14
554,693,552,138,293,198,739,615,708,361
202,176,186,91,140,190,313,274,260,165
229,419,417,552,231,183,348,315,469,520
18,33,19,9,3,9,51,28,26,1
154,117,133,63,198,101,148,122,267,273
19,73,94,51,4,18,42,58,112,42
717,306,251,123,379,355,816,652,670,502
85,138,114,41,23,33,158,133,133,44
114,123,132,68,49,30,254,179,227,116
86,122,113,40,42,52,102,101,136,66
278,358,322,78,183,118,386,307,382,199
94,19,53,17,44,32,171,106,103,67
793,1361,838,371,763,486,973,948,1164,595
170,123,98,17,80,67,181,162,155,93
217,295,238,112,188,181,178,202,257,238
33,94,71,19,16,18,158,99,67,50
498,483,478,203,276,158,618,565,651,390
68,87,47,13,19,9,153,73,106,40
253,522,358,109,131,72,315,288,279,191
216,279,262,232,236,152,281,292,386,299
160,214,222,72,165,73,453,301,275,103
29,16,35,0,3,0,32,11,12,6
14,68,38,7,4,2,12,15,38,11
269,296,265,86,108,69,406,332,307,184
19,28,58,13,6,2,20,25,46,16
10,16,23,4,2,1,28,14,14,16
24,12,16,22,14,8,18,22,15,19
172,490,73,33,68,38,356,258,274,31
400,499,384,207,314,318,477,466,520,436
44,144,396,192,56,110,281,249,326,148
229,408,320,153,136,165,349,251,349,163
240,410,263,105,141,57,274,196,316,146
24,30,16,16,3,8,37,25,20,5
1413,2002,1658,780,443,578,1636,1481,2034,1247
307,280,293,102,92,78,341,281,375,153
271,499,0,0,7,0,2,0,0,4
63,55,90,9,36,16,154,91,157,33
53,36,38,12,14,19,86,51,58,35
777,846,792,298,440,309,1195,878,1144,512
29,9,24,5,11,10,75,37,54,9
92,155,114,40,42,13,170,149,223,61
1097,1073,793,233,569,333,1159,947,1173,624
120,98,92,48,75,34,82,65,126,95
3158,2065,2056,1081,1650,1337,2960,2811,2821,2407
81,193,199,62,33,25,108,86,202,44
44,166,176,88,57,43,175,139,205,92
61,329,235,107,69,30,91,106,187,87
32,35,24,30,13,38,59,45,82,28
10,10,5,0,0,0,10,16,7,5
44,69,52,10,26,28,63,49,66,10
60,155,143,42,28,8,106,114,130,56
102,175,150,41,64,31,207,169,197,95
1191,302,377,138,919,516,1251,970,1141,902
42,125,71,33,14,7,135,77,98,28
31,51,41,30,34,4,60,67,64,12
122,303,152,27,36,54,357,245,337,52
41,46,20,21,17,19,38,39,41,17
27,39,16,5,14,20,43,28,37,38
51,75,50,17,18,6,338,220,153,51
40,57,23,13,11,17,39,55,64,10
124,179,141,24,40,25,259,212,169,57
7,18,16,0,9,2,4,5,14,1
158,586,395,146,64,59,115,120,235,127
67,71,56,11,5,19,130,69,90,18
178,589,557,219,71,17,296,302,482,170
17,32,44,20,14,8,37,38,33,35
1,8,10,19,0,0,3,4,7,5
30,55,51,32,11,7,52,30,77,14
129,246,152,64,124,105,196,161,158,146
82,154,167,48,41,29,102,69,206,34
105,93,68,19,36,31,131,89,121,38
22,60,100,10,16,34,96,69,129,27
1359,510,461,135,537,414,1363,977,1274,806
17,10,17,11,3,8,35,31,46,5
123,238,112,34,125,84,266,196,212,155
29,32,19,4,10,13,35,22,30,5
133,87,146,36,57,50,416,283,272,128
64,244,204,175,28,6,102,87,139,112
473,423,307,284,283,176,598,485,509,439
8,63,74,2,3,4,31,35,45,17
3,33,5,0,5,6,16,14,18,17
31,13,28,13,14,18,52,26,22,10
147,232,248,69,67,53,211,219,316,119
35,31,28,12,20,23,19,11,36,20
2443,2605,1848,1332,2812,2466,2293,1978,2778,2981
23,19,17,22,29,26,18,8,33,68
556,823,376,235,452,301,628,586,647,439
495,815,703,457,360,316,530,524,650,500
89,80,121,37,25,22,226,139,213,26
19,64,43,19,60,16,39,40,41,30
27,115,43,27,13,11,38,42,38,13
168,162,180,92,146,109,272,165,228,183
95,161,174,37,100,44,281,209,279,65
38,119,37,16,31,8,109,67,81,32
59,90,78,33,14,17,147,119,116,46
57,151,150,50,27,16,167,92,168,66
164,170,145,47,84,46,190,171,250,131
54,71,65,22,27,8,55,57,84,31
454,139,92,23,152,123,441,371,291,275
251,258,214,83,320,125,395,271,305,170
204,234,179,125,124,72,273,219,328,217
14,64,28,5,26,12,46,27,33,13
79,58,47,33,72,94,81,96,96,137
2346,3481,2733,1268,2239,1540,2471,2126,2540,1788
146,172,113,40,71,64,285,216,223,96
106,91,104,59,88,45,143,119,106,79
260,301,333,83,119,121,446,326,517,246
11,46,55,21,2,0,20,17,42,7
56,154,112,70,30,38,56,56,99,60
2,12,7,22,1,0,10,4,2,2
121,104,153,25,25,11,264,131,181,51
17,5,20,4,2,1,12,4,4,7
104,154,97,49,60,56,177,130,102,118
106,180,170,41,74,57,207,175,160,75
105,152,87,45,26,16,151,123,177,55
4,16,16,11,0,2,7,5,23,7
30,67,48,31,22,13,88,35,60,18
230,122,150,85,131,120,280,274,252,177
3,25,1,3,6,0,29,25,36,0
119,116,97,31,58,48,165,120,135,65
52,39,61,10,26,18,85,83,66,22
101,126,122,48,69,73,106,96,116,105
142,240,178,82,80,75,226,214,230,87
13,54,36,25,1,9,38,53,86,12
3,44,28,5,1,0,3,3,22,8
149,265,298,68,49,39,323,334,289,159
86,101,117,39,13,33,175,148,182,79
379,379,473,107,73,68,365,333,399,143
195,250,187,90,99,115,185,184,187,93
126,180,40,1,115,128,377,331,226,94
10,23,24,8,10,10,12,28,21,17
5,28,13,1,1,5,6,7,6,2
252,502,442,180,93,119,475,389,437,470
22,59,55,27,15,17,35,19,84,16
1085,1057,1032,347,504,597,1703,1232,1691,818
187,51,110,31,88,52,316,229,264,140
