"normal_MS","progressive_MS","lesion1","lesion2","normal1","lesion3","normal2","..lesion4","normal3","normal4"
20,242,15,8,44,20,129,122,92,15
339,377,336,195,160,154,466,387,413,369
276,394,185,66,150,129,352,398,444,189
4,64,6,0,14,3,31,32,25,0
10,0,5,7,4,8,7,11,13,9
12,9,6,0,3,0,7,14,15,11
4,17,35,3,0,0,3,6,12,0
33,121,68,18,14,16,120,87,110,42
118,163,108,35,70,40,141,121,200,85
309,114,171,69,34,55,425,232,356,156
20,137,92,59,17,14,73,50,111,29
1712,2183,1585,866,1333,1132,1550,1436,2021,1456
13,33,6,1,15,10,29,26,22,19
504,443,422,230,404,254,679,572,747,597
130,120,87,26,45,33,143,96,133,51
3,14,16,3,3,0,22,18,32,7
151,228,211,126,32,22,247,200,269,56
49,47,48,14,7,7,57,42,97,34
2318,3432,2527,934,1470,741,2426,2353,2646,1764
28,89,42,46,36,49,42,75,70,78
7,49,48,27,13,6,13,5,35,16
48,114,2,21,73,27,18,7,18,51
92,378,64,40,60,67,197,201,161,83
56,65,55,18,30,11,124,61,78,53
8,70,27,13,17,7,39,29,48,23
47,61,76,36,34,22,95,62,65,42
2562,5404,4644,1778,1503,1015,3802,2857,4245,1829
659,862,864,376,466,372,1451,1066,1301,521
2592,3876,2624,1453,1363,949,3162,2464,3573,1955
268,346,178,125,208,205,270,232,296,239
508,849,525,505,481,299,399,431,604,572
29,98,37,17,19,6,79,103,57,43
103,123,151,35,83,66,153,130,179,124
8,22,26,10,3,4,12,9,13,19
93,81,94,36,61,52,158,158,173,87
83,61,71,31,33,26,140,93,188,43
22,39,31,16,12,28,42,34,38,18
850,1425,1054,469,963,654,838,784,1074,728
41,54,36,9,18,13,41,32,32,20
38,103,45,25,40,18,59,58,80,35
51,71,64,25,23,13,67,48,95,27
87,83,97,9,11,25,208,122,143,36
475,562,336,289,484,327,537,419,633,482
125,181,93,42,47,28,169,151,161,90
58,59,83,13,15,12,114,77,121,34
159,80,229,58,40,53,553,394,449,81
6,0,4,0,8,2,23,13,4,7
129,71,70,46,60,36,181,135,132,145
53,59,82,32,25,11,97,92,98,25
11,4,9,3,16,2,16,16,18,13
42,30,26,5,47,16,56,65,55,28
10,36,14,11,7,25,29,18,22,11
128,152,116,53,99,55,274,238,218,104
8,12,8,13,6,2,6,0,8,5
10,15,7,13,8,28,10,8,9,18
267,295,194,81,137,184,232,226,250,160
0,24,2,0,0,0,18,10,10,3
21,30,19,1,16,6,28,9,37,4
16,47,47,8,5,7,63,38,62,13
40,151,128,25,7,12,56,74,69,35
4,16,22,12,4,6,19,11,26,21
13,11,29,7,11,6,16,16,13,2
24,23,28,11,4,10,42,53,41,25
637,762,826,349,262,168,1214,964,1098,461
100,213,140,132,147,80,165,182,184,137
3,7,9,0,7,4,8,3,20,14
100,123,143,59,87,50,139,137,172,107
25,43,30,15,10,31,48,25,57,18
100,76,76,32,48,16,161,104,122,75
65,141,152,72,20,17,120,110,165,59
3,56,1,0,8,0,19,14,17,1
16,26,12,25,10,18,55,10,31,19
354,372,350,180,196,172,345,349,456,238
31,31,16,7,1,0,31,34,40,20
44,54,36,16,30,18,53,61,49,15
345,267,195,77,169,201,401,396,433,285
12,51,110,15,6,0,57,52,62,15
110,160,144,106,190,130,126,154,159,243
45,29,38,7,40,14,65,52,60,31
88,145,108,31,92,25,166,114,142,53
220,394,266,148,241,197,351,309,275,299
224,383,215,151,167,96,309,257,333,188
127,262,220,100,123,131,176,158,235,163
62,222,18,20,68,30,140,112,93,56
16,216,23,1,57,46,162,97,116,4
58,45,28,6,7,4,49,41,57,9
545,879,533,246,316,262,462,517,504,442
18,34,16,21,6,15,39,22,34,19
2708,398,802,211,1340,907,2348,1494,2657,1490
52,47,53,13,21,46,61,69,90,56
914,1063,842,404,531,309,971,953,1043,602
110,621,575,263,96,120,286,203,534,129
21,22,19,16,34,9,22,32,22,21
149,236,149,76,83,88,171,182,187,174
75,91,127,57,71,53,93,100,180,104
131,287,341,139,41,48,304,254,437,160
3,34,20,13,0,0,9,11,21,7
9,43,16,0,7,3,60,57,36,3
107,128,71,42,134,98,79,79,108,95
55,84,64,37,27,23,164,120,114,31
229,36,71,39,306,239,298,256,263,322
463,98,128,81,257,261,764,596,414,421
65,61,22,34,20,29,106,64,72,35
22,188,27,173,3,0,7,54,11,39
171,128,57,41,56,69,182,123,172,85
301,119,212,66,53,74,699,358,412,246
8,6,26,17,2,14,16,15,50,11
106,84,0,0,1,0,5,1,1,1
90,93,52,41,46,57,118,89,115,42
108,101,73,42,35,52,158,85,151,32
1115,420,453,218,587,476,902,746,955,882
65,114,56,16,51,11,152,104,122,48
208,242,179,33,46,30,388,246,267,98
66,73,45,21,56,22,86,62,48,35
109,72,43,20,151,116,251,209,125,101
2503,377,729,204,509,654,2821,1955,2391,1628
145,129,108,30,44,36,134,149,163,104
61,49,39,55,46,28,109,84,84,77
273,413,338,175,195,127,368,318,364,182
151,128,96,35,67,45,113,101,138,48
7,21,31,3,7,6,38,23,34,5
531,277,391,187,315,190,653,399,636,369
48,50,40,7,18,24,51,49,46,29
32,22,39,18,8,21,95,45,97,48
68,103,78,25,20,38,181,123,170,42
11,5,3,1,17,10,13,12,3,8
71,75,113,17,15,19,137,128,177,35
14,11,19,9,2,0,18,20,27,2
6,16,22,11,2,19,18,18,15,10
327,367,459,121,208,122,562,505,507,224
18,7,19,11,9,19,36,34,24,28
8,10,3,3,2,1,14,10,6,4
6,42,57,14,24,2,46,30,36,13
212,388,209,26,74,28,573,415,545,84
164,198,223,70,108,33,296,222,275,139
11,51,34,29,8,4,29,25,31,73
50,79,72,20,22,33,91,81,122,53
19,35,45,31,14,22,22,34,38,39
174,346,212,94,66,53,245,214,238,114
1042,1390,1070,554,606,342,1295,953,1339,796
24,91,109,45,15,10,75,63,105,52
46,163,149,65,21,23,163,151,167,70
6,9,12,0,5,14,7,9,2,8
56,60,31,19,61,40,57,73,88,51
5,22,10,0,9,2,11,3,19,3
1271,229,509,150,669,479,3268,2474,1805,1439
361,597,310,104,214,237,436,417,454,221
62,129,91,118,54,17,90,64,98,79
11,42,74,18,5,9,17,32,36,20
31,15,6,0,12,16,44,27,28,13
92,87,117,25,21,17,99,127,137,56
155,211,110,41,62,25,271,179,202,75
32,144,25,17,17,22,50,34,48,14
417,1215,854,341,266,238,611,541,689,387
1951,1779,1357,600,882,761,3175,2592,2627,1464
303,607,707,234,97,35,584,449,667,137
24,24,27,390,56,107,55,83,40,489
365,1303,1006,678,133,294,330,322,927,647
141,105,103,20,54,36,131,104,156,113
43,45,25,11,6,21,70,60,74,17
954,3713,2486,1345,666,389,2138,2091,2373,772
40,11,32,6,20,8,27,32,16,9
19,8,12,2,9,12,18,13,13,5
93,56,52,82,273,89,152,128,107,371
2,29,13,2,1,4,0,3,8,2
17,41,40,16,23,25,44,19,20,42
2,50,8,5,10,5,87,57,83,0
7,11,14,2,2,0,14,2,8,1
396,1168,2159,921,45,104,1985,1384,2606,713
9,21,34,9,1,13,11,17,24,3
70,114,71,44,63,46,78,79,125,82
150,387,112,44,92,88,455,303,418,146
8,15,21,14,17,2,23,24,41,32
114,186,130,45,128,81,163,159,172,64
105,203,229,315,134,107,227,140,255,355
11,26,18,10,12,7,15,9,29,20
202,208,238,125,104,75,213,225,302,129
3197,2127,2224,951,1440,1008,2872,2292,4270,2356
51,80,110,40,52,40,154,125,114,78
161,89,131,34,105,63,221,137,204,86
410,424,123,82,125,96,554,388,333,309
30,50,55,29,33,31,146,108,77,87
294,487,314,151,153,142,279,248,330,138
20,24,16,4,10,13,17,14,26,12
40,212,235,51,20,17,106,111,249,35
583,642,524,227,213,204,590,576,687,399
35,367,37,10,42,41,282,148,232,8
3,59,12,6,7,5,22,11,29,6
225,273,192,122,113,122,272,267,342,178
107,114,64,39,55,34,91,91,72,42
94,145,99,21,75,22,113,68,93,76
52,177,87,36,15,29,111,80,97,55
325,107,182,22,56,66,553,447,431,135
425,623,480,169,267,149,706,564,607,249
522,1127,599,270,647,482,768,818,934,530
137,161,191,40,96,88,271,209,305,116
49,65,38,12,38,38,134,134,71,16
26,19,39,39,11,44,16,17,35,56
889,1287,1038,382,513,456,1263,845,1343,757
76,47,34,8,34,47,99,95,86,39
120,84,105,50,41,38,92,71,100,43
37,20,57,7,8,2,74,53,82,13
167,209,134,36,42,30,303,221,293,56
2,14,8,9,4,7,13,29,16,6
59,257,161,164,39,37,197,116,244,104
33,117,75,41,15,5,78,71,69,45
319,430,273,106,221,143,332,276,377,269
27,81,65,37,20,37,45,79,50,29
138,284,285,82,41,41,228,207,285,61
281,494,357,61,132,50,331,288,355,126
67,79,100,15,18,26,88,94,137,51
340,482,284,162,209,263,386,354,417,351
21,34,47,1,4,2,30,29,19,14
33,24,29,4,14,7,21,28,34,10
2,20,24,153,20,42,36,26,17,148
70,42,43,6,8,22,42,51,52,24
38,78,34,29,13,16,56,45,61,12
446,648,524,244,285,175,640,554,622,355
551,607,449,180,329,347,752,634,574,376
650,2958,3781,955,153,204,2645,2111,3501,585
30,124,106,156,29,12,77,73,117,67
160,374,358,192,44,62,520,369,484,181
281,522,1102,614,82,25,475,532,906,294
6,52,14,6,3,6,4,8,14,9
613,179,260,89,426,391,977,714,633,859
0,8,26,0,0,0,0,2,16,2
51,82,67,32,33,30,46,76,77,56
36,43,38,6,10,1,26,21,33,11
5,36,23,28,7,21,26,23,14,24
69,64,91,28,27,8,300,151,142,45
57,52,47,6,8,6,36,39,43,12
343,130,165,65,495,277,255,277,324,274
46,141,113,398,70,132,104,105,136,360
307,464,352,183,167,125,459,380,486,222
50,152,127,70,113,232,130,143,138,77
334,450,292,156,486,384,321,282,320,370
461,275,257,109,180,163,578,459,532,338
28,35,15,7,10,7,43,54,64,23
0,11,1,15,3,0,15,7,5,7
566,795,694,298,394,270,659,558,747,376
103,103,98,15,17,29,184,131,138,40
9,65,12,3,4,0,24,21,29,8
48,80,67,28,40,29,61,78,76,36
945,1492,952,444,672,404,903,793,1021,730
48,78,22,23,5,12,40,45,53,35
49,88,34,17,25,29,72,48,63,27
8,4,7,1,11,5,22,11,7,9
38,19,44,6,20,12,19,18,49,8
151,97,159,75,113,88,189,158,172,108
147,215,253,79,48,79,286,262,438,93
150,148,70,35,161,64,194,122,172,94
88,219,140,83,41,46,171,120,164,112
152,100,80,16,49,27,196,150,172,77
489,687,418,221,491,438,602,556,564,437
73,110,74,24,34,19,108,81,98,80
667,976,685,370,625,436,684,586,857,571
30,51,48,8,3,11,54,39,63,15
97,78,39,13,47,41,77,76,81,52
279,391,294,108,165,93,250,246,349,121
12,11,9,3,24,5,29,16,17,23
57,92,52,47,63,43,65,66,73,62
46,61,59,37,32,27,93,85,82,42
0,28,28,4,3,3,13,12,29,2
191,367,148,57,210,139,340,295,416,153
374,293,296,91,388,135,508,450,438,386
406,266,327,146,193,242,465,393,512,354
515,314,302,204,471,441,497,409,519,392
392,469,311,174,202,170,642,524,636,533
159,303,273,90,165,103,287,269,377,169
181,647,259,166,178,175,281,271,347,235
168,100,63,25,88,57,280,176,225,185
25,45,31,19,14,17,33,36,66,24
16,150,177,48,2,0,9,11,55,20
442,893,853,474,240,359,1315,1025,1618,462
46,32,14,8,19,12,62,52,77,14
213,822,907,388,93,89,236,316,670,211
25,55,48,11,17,29,62,60,47,23
767,712,828,202,217,136,1305,1102,1265,386
158,134,174,45,77,47,208,187,188,114
11,100,45,18,5,10,48,40,74,10
68,204,131,72,30,44,115,140,142,80
11,0,0,0,10,1,14,9,7,11
224,85,65,37,203,273,265,239,211,187
28,44,60,19,28,24,71,55,79,32
195,154,132,35,85,76,247,180,295,138
691,591,567,194,171,155,931,716,944,566
1013,778,700,269,672,471,923,761,1137,748
94,119,103,36,64,39,120,90,195,49
77,159,176,48,74,37,138,119,162,75
63,98,48,9,14,13,78,53,83,3
31,216,105,53,62,47,107,86,124,42
464,329,349,109,398,302,415,312,478,328
75,80,114,29,37,22,132,98,129,65
144,103,104,17,24,41,183,121,133,115
37,33,25,8,11,2,47,18,46,14
55,43,108,14,26,53,128,79,112,36
55,104,54,50,42,51,91,96,106,66
24,61,50,16,29,7,58,47,41,47
18,21,30,2,17,28,66,68,48,11
13,18,12,1,3,13,13,13,11,1
136,89,108,12,26,19,114,97,179,34
7,7,9,1,2,0,8,5,9,4
1514,2465,1822,807,1912,1316,1612,1437,2017,1274
68,87,99,21,15,10,199,94,114,20
151,422,172,222,222,107,232,185,237,263
2134,4230,3675,1399,748,223,1670,1895,2606,843
45,51,48,22,34,11,63,46,64,38
5,29,70,31,4,0,32,17,70,43
356,486,288,107,280,216,400,387,403,205
43,318,194,103,16,9,35,19,54,57
471,444,385,136,729,435,927,640,625,517
55,212,81,35,15,42,78,103,128,37
235,430,362,210,127,228,261,219,351,294
62,52,34,33,36,40,45,43,50,40
22,53,28,4,15,24,71,59,57,21
159,181,175,56,134,44,189,173,272,98
262,319,183,92,93,70,327,290,298,145
6,4,4,4,18,3,21,17,23,17
46,41,27,13,20,7,40,57,36,22
12,55,29,11,1,4,52,25,23,19
28,103,86,32,34,25,81,57,85,37
20,36,21,5,11,8,44,25,25,5
97,249,144,64,41,18,142,102,191,67
7,32,5,0,12,3,45,29,21,0
246,434,259,127,196,163,386,265,426,178
6,37,22,1,9,0,12,23,8,5
130,203,85,30,98,67,167,156,154,67
16,58,58,14,16,9,80,32,38,8
50,126,193,54,10,6,105,81,162,19
28,26,25,7,0,12,40,65,33,2
9,33,12,26,1,20,15,12,18,19
10,31,18,10,14,5,56,42,41,8
9,44,9,1,13,9,32,18,23,8
102,151,140,116,161,98,162,172,160,166
57,19,17,18,36,19,37,47,38,30
125,108,216,22,21,19,201,115,213,54
28,90,167,69,4,31,103,105,230,46
122,142,76,42,19,36,152,156,145,61
78,151,208,182,25,29,179,150,244,209
89,84,90,24,52,46,123,120,114,57
231,150,99,78,215,152,216,195,203,166
38,187,95,41,4,15,67,64,117,23
0,28,19,19,8,29,38,31,27,17
77,83,72,18,49,25,108,72,96,62
35,92,21,31,39,41,82,61,62,18
4,19,29,8,3,13,35,26,54,14
559,309,509,102,252,247,955,685,745,436
16,8,17,10,4,20,15,14,23,10
194,375,275,181,155,153,168,164,252,141
0,6,21,6,5,5,9,3,18,3
659,767,984,145,113,81,493,459,976,139
0,16,16,16,0,1,4,1,0,5
47,67,95,28,26,46,140,128,147,69
524,759,799,413,452,445,466,491,879,510
5105,4739,4724,1460,1990,1574,6381,4748,6397,3093
333,708,635,217,226,137,412,358,587,324
26,49,21,17,14,11,73,23,30,19
114,168,125,40,81,43,157,135,146,92
33,34,53,17,26,4,89,60,102,53
84,112,77,41,34,30,210,145,200,71
99,91,116,38,74,57,138,130,124,77
132,158,186,40,155,59,148,144,162,105
1099,767,704,269,1147,585,913,844,1210,878
1005,2177,1761,855,1026,700,1013,1015,1608,963
127,395,552,274,86,201,141,204,421,338
16,19,48,30,16,26,45,48,38,31
70,135,159,77,76,28,133,128,157,73
2,17,10,2,0,1,10,9,40,5
